Metabolite_e1e2	wt/mt_0d	wt/mt_0d	wt/mt_0d	wt/mt_0d	wt/mt_0d	wt/mt_0d	wt/mt_1d	wt/mt_1d	wt/mt_1d	wt/mt_1d	wt/mt_1d	wt/mt_1d	wt/mt_7d	wt/mt_7d	wt/mt_7d	wt/mt_7d	wt/mt_7d	wt/mt_7d	wt/mt_21d	wt/mt_21d	wt/mt_21d	wt/mt_21d	wt/mt_21d	wt/mt_21d
Inositol-phosphate, myo-	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	0	0	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Mannose-6-phosphate	0	0	#DIV/0!	0	0	0	1.7103362077	0.7986680183	#DIV/0!	0.2454789029	0.7116724395	0.662131919	0.6846788652	0.4880593188	0	0.5270461891	0.7270065751	0	0.5225783877	0.266770726	0.4521367195	0.5412861984	0.2262804635	0.4170923929
Phosphonic acid, hydroxymethyl-	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	0	0	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Phosphoric acid	0.1476679036	0.2790141927	#DIV/0!	0.2030814732	0.171292486	0.2400218399	0.4574550921	0.7056821421	#DIV/0!	0.1055525298	0.8315509848	0.5622274222	0.5659728111	0.3782905468	0	0.1103092689	0.1207510487	0	0.3148763138	0.3381385975	0.1158443574	0.1982925451	0.1677890652	0.2299939758
Phosphoric acid monomethyl ester	0.0810450777	0.1869089141	#DIV/0!	0.336153623	1.0627761227	0.5945769401	0.4915726413	1.1749689869	#DIV/0!	0.0262497222	0.5666782969	0.3500206484	0.3753965102	0.6234502434	0	0.4557315499	0.664330299	0	0.2099481218	0.1462471941	0.2880914303	0.5032274792	0.5226827417	0.4579897944
Arabinonic acid-1,4-lactone	0	0	#DIV/0!	0	0	0	2.3507665745	0.8784191448	#DIV/0!	0	0.784084652	0.8030927705	0.8340452953	1.215925293	0	0.4410256645	0.5617424895	0	0.89258201	0	0.3054931191	0.4280213663	0.282640534	0.2526946147
Ascorbic acid	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	0	0	0	1.3751702819	1.2550709466	#DIV/0!	0	0.3322663713	0	0	0	0	0	#DIV/0!	0
Dehydroascorbic acid dimer	0.0872117798	0.0993117456	#DIV/0!	2.9764806693	0	0.6707634679	0.2092433983	0.0918857999	#DIV/0!	0.0294155037	0.9652710953	1.2943327594	0.6585315763	0.1317142978	0	0	0.3132169734	0	0.4536242935	0.0027168862	0.0412954682	0.4363474651	0.0322691203	0.0244141142
Erythronic acid	0.6292703702	1.2119067135	#DIV/0!	1.0430020649	0.8223354465	0.9856704677	1.7005498976	0.9727684824	#DIV/0!	0.1338939063	0.6365352219	0.6713917868	0.4154407442	0.4575547267	0	0.6181194364	0.8278736065	0	0.4205226245	0.3832958006	0.2358071251	0.5392775889	0.4357584592	0.4306688537
Galactonic acid	0.6080167687	0.8321581339	#DIV/0!	0.7948255995	0.7040636071	0.7484644384	1.2567421008	0.6264377761	#DIV/0!	0.3847381337	0.9398220583	1.251514302	0.4343898707	0.5496018557	0	0.8060658957	0.8137834929	0	0.4768531399	0.2703731868	0.3977322654	0.7428187557	0.8675721494	0.7935148492
Gluconic acid	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Glyceric acid	0.6995913845	0.7341312468	#DIV/0!	0.9238185144	1.2764946004	0.9453776084	1.3120431977	0.7858611295	#DIV/0!	0.1236409477	0.4719003689	0.4963181639	0.6368629904	0.6017040026	0	1.0465949726	1.2417151032	0	0.7210180793	0.7416248461	0.5525785472	0.7480574507	0.7369442173	0.9009866046
